鄉鎮市區,土地面積平方公尺,租賃年月日,租賃層次,建物型態,單價元平方公尺
The villages and towns urban district,land shifting total area square meter,transaction year month and day,shifting level,building state,the unit price (NTD / square meter)
士林區,430,1120703,二層,公寓(5樓含以下無電梯),298
大安區,4.16,1120619,八層,住宅大樓(11層含以上有電梯),561
大安區,31.75,1120725,一層,店面(店鋪),773
中山區,166,1120720,二層,公寓(5樓含以下無電梯),319
大同區,1393,1120719,四層,住宅大樓(11層含以上有電梯),371
士林區,24.7,1120706,一層,華廈(10層含以下有電梯),343
大同區,118.12,1120715,三層,公寓(5樓含以下無電梯),423
萬華區,16.26,1120618,二層,公寓(5樓含以下無電梯),218
內湖區,74.2,1120620,一層,廠辦,351
南港區,29.84,1120801,一層,公寓(5樓含以下無電梯),358
大安區,41.64,1120724,一層,店面(店鋪),704
信義區,9.14,1120804,五層,辦公商業大樓,355
大同區,4.63,1120801,五層,華廈(10層含以下有電梯),531
士林區,22.48,1120801,一層,華廈(10層含以下有電梯),297
士林區,6.41,1120727,十三層,辦公商業大樓,590
內湖區,28.26,1120628,一層,店面(店鋪),443
士林區,29.09,1120701,六層,華廈(10層含以下有電梯),417
松山區,70,1120729,一層,公寓(5樓含以下無電梯),1154
士林區,1812.65,1120630,二層,公寓(5樓含以下無電梯),846
內湖區,43.43,1120808,五層,公寓(5樓含以下無電梯),221
內湖區,44.32,1120726,三層,公寓(5樓含以下無電梯),237
The villages and towns urban district,land shifting total area square meter,transaction year month and day,shifting level,building state,the unit price (NTD / square meter)
萬華區,28,1130107,全,透天厝,650
萬華區,15.97,1130203,七層,住宅大樓(11層含以上有電梯),409
內湖區,20.86,1130201,一層,店面(店鋪),533
信義區,11.98,1130205,一層,店面(店鋪),444
北投區,21.73,1130216,一層,公寓(5樓含以下無電梯),242
內湖區,31.27,1130206,四層,公寓(5樓含以下無電梯),347
南港區,47.4,1130205,五層,其他,231
松山區,28.2,1130130,五層,公寓(5樓含以下無電梯),378
內湖區,87.73,1130220,五層,華廈(10層含以下有電梯),336
萬華區,23.75,1130118,四層,公寓(5樓含以下無電梯),363
萬華區,23.75,1130220,四層,公寓(5樓含以下無電梯),363
內湖區,27.43,1130221,四層,華廈(10層含以下有電梯),313
大安區,30.71,1130110,一層,店面(店鋪),510
大安區,56.5,1130205,一層,公寓(5樓含以下無電梯),615
萬華區,28,1130113,全,透天厝,650
萬華區,87,1130218,全,透天厝,250
內湖區,39.48,1130207,二層,公寓(5樓含以下無電梯),257
中山區,30.71,1130218,一層,店面(店鋪),801
內湖區,20.21,1130217,二層,住宅大樓(11層含以上有電梯),240
北投區,8.2,1130217,九層,辦公商業大樓,425
萬華區,4.68,1130217,六層,住宅大樓(11層含以上有電梯),523
大同區,33.71,1130205,五層,住宅大樓(11層含以上有電梯),182
中山區,63.11,1130205,六層,華廈(10層含以下有電梯),349
內湖區,12.93,1130201,九層,住宅大樓(11層含以上有電梯),455
內湖區,27.7,1130224,五層,公寓(5樓含以下無電梯),403
內湖區,21.07,1130222,十層,住宅大樓(11層含以上有電梯),419
內湖區,8,1130217,三層,公寓(5樓含以下無電梯),482
內湖區,46.62,1121221,九層,辦公商業大樓,454
內湖區,45.61,1121221,九層,辦公商業大樓,454
中山區,9.36,1130205,二層,辦公商業大樓,480
北投區,7.75,1130225,五層,華廈(10層含以下有電梯),400
中正區,9.86,1130222,三層,辦公商業大樓,338
信義區,15.71,1130223,二層,華廈(10層含以下有電梯),426
士林區,48.58,1130220,一層,華廈(10層含以下有電梯),332
中正區,32.26,1130229,四層,辦公商業大樓,292
萬華區,13,1130229,一層,公寓(5樓含以下無電梯),469
萬華區,10.61,1130304,一層,華廈(10層含以下有電梯),593
大安區,18.42,1130302,七層,華廈(10層含以下有電梯),375
中山區,46.16,1130220,一層,店面(店鋪),351
中山區,22,1130221,四層,公寓(5樓含以下無電梯),403
松山區,23.88,1130304,三層,公寓(5樓含以下無電梯),326
松山區,23.88,1130304,二層,公寓(5樓含以下無電梯),326
大安區,18,1130218,三層,公寓(5樓含以下無電梯),425
大安區,10.72,1130304,七層,住宅大樓(11層含以上有電梯),433
內湖區,20.19,1130219,一層,辦公商業大樓,528
信義區,34,1130301,二層,公寓(5樓含以下無電梯),292
信義區,19.52,1130201,八層,住宅大樓(11層含以上有電梯),413
內湖區,39.66,1130225,五層,公寓(5樓含以下無電梯),205
大安區,35.2,1130217,一層,公寓(5樓含以下無電梯),511
文山區,11.17,1130223,十層,住宅大樓(11層含以上有電梯),343
北投區,4.99,1130228,五層,住宅大樓(11層含以上有電梯),324
中正區,6.49,1130217,十層,住宅大樓(11層含以上有電梯),446
北投區,24.76,1130220,一層,公寓(5樓含以下無電梯),309
南港區,16.88,1130306,四層,住宅大樓(11層含以上有電梯),309
松山區,33.75,1130215,四層,公寓(5樓含以下無電梯),406
松山區,6.36,1130308,一層,店面(店鋪),1035
南港區,13.35,1130308,六層,住宅大樓(11層含以上有電梯),601
北投區,30.55,1130301,四層,公寓(5樓含以下無電梯),235
北投區,32.75,1130303,一層,公寓(5樓含以下無電梯),387
士林區,6.35,1130310,一層,公寓(5樓含以下無電梯),2059
