鄉鎮市區,土地面積平方公尺,租賃年月日,租賃層次,建物型態,單價元平方公尺
The villages and towns urban district,land shifting total area square meter,transaction year month and day,shifting level,building state,the unit price (NTD / square meter)
信義區,390.92,1080430,十一層,辦公商業大樓,794
松山區,4.42,1080422,十七層,住宅大樓(11層含以上有電梯),493
大安區,9.63,1080416,四層,辦公商業大樓,370
士林區,7.08,1080503,一層,其他,618
內湖區,88.0,1080501,全,透天厝,172
內湖區,89.39,1080402,一層,店面(店鋪),541
大安區,13.15,1080506,五層,住宅大樓(11層含以上有電梯),322
中山區,14.02,1080415,NA,其他,NA
The villages and towns urban district,land shifting total area square meter,transaction year month and day,shifting level,building state,the unit price (NTD / square meter)
內湖區,76.8,1081209,二層,辦公商業大樓,267
大安區,17.58,1090211,十一層,住宅大樓(11層含以上有電梯),372
中山區,54.22,1090203,地下一層,住宅大樓(11層含以上有電梯),194
松山區,5.26,1090207,一層,店面(店鋪),647
信義區,41.96,1090217,一層,華廈(10層含以下有電梯),308
北投區,67.65,1090211,全,透天厝,451
中山區,87.0,1090112,三層,公寓(5樓含以下無電梯),329
中山區,148.0,1081216,全,透天厝,605
內湖區,38.8,1090224,五層,華廈(10層含以下有電梯),231
內湖區,21.4,1090215,二層,華廈(10層含以下有電梯),294
內湖區,188.23,1090206,四層,廠辦,476
內湖區,1993.18,1090204,八層,廠辦,399
中山區,46.06,1090114,九層,住宅大樓(11層含以上有電梯),362
中山區,1059.0,1090111,見其他登記事項,住宅大樓(11層含以上有電梯),677
松山區,28.51,1090215,一層,華廈(10層含以下有電梯),333
大安區,13.11,1090123,八層,住宅大樓(11層含以上有電梯),454
內湖區,8.26,1090226,十四層,住宅大樓(11層含以上有電梯),399
內湖區,26.82,1090219,NA,其他,NA
內湖區,41.56,1090218,NA,其他,NA
大安區,16.4,1090227,七層,住宅大樓(11層含以上有電梯),314
中山區,16.79,1090213,六層,辦公商業大樓,608
內湖區,534.0,1090225,四層,住宅大樓(11層含以上有電梯),346
文山區,32.25,1090222,二層,公寓(5樓含以下無電梯),240
南港區,25.0,1090220,二層,公寓(5樓含以下無電梯),313
南港區,21.7,1090225,四層,華廈(10層含以下有電梯),423
大安區,199.0,1090303,全,透天厝,245
內湖區,24.0,1090304,一層,住宅大樓(11層含以上有電梯),346
信義區,6.13,1090305,十一層,住宅大樓(11層含以上有電梯),653
大安區,33.94,1090228,二層,華廈(10層含以下有電梯),356
大同區,19.89,1090218,三層,公寓(5樓含以下無電梯),276
中山區,2913.0,1090301,見其他登記事項,辦公商業大樓,726
文山區,31.0,1090307,NA,公寓(5樓含以下無電梯),336
萬華區,4.69,1090201,二十四層,住宅大樓(11層含以上有電梯),262
內湖區,35.18,1090308,四層,華廈(10層含以下有電梯),251
中山區,29.5,1090311,一層,公寓(5樓含以下無電梯),482
松山區,452.0,1090310,一層,華廈(10層含以下有電梯),534
北投區,32.58,1090310,二層,華廈(10層含以下有電梯),418
內湖區,43.88,1090313,二層,公寓(5樓含以下無電梯),315
大安區,40.5,1090210,一層,店面(店鋪),935
信義區,106.0,1090217,二層,公寓(5樓含以下無電梯),141
信義區,0.16,1090122,一層,店面(店鋪),1059
中山區,3.13,1090301,五層,住宅大樓(11層含以上有電梯),510
士林區,229.0,1090301,全,透天厝,902
士林區,36.0,1090225,一層,公寓(5樓含以下無電梯),264
中山區,1047.0,1090114,十一層,住宅大樓(11層含以上有電梯),617
內湖區,24.74,1090316,五層,公寓(5樓含以下無電梯),241
大安區,23.25,1090217,一層,店面(店鋪),1149
大安區,4.44,1090323,三層,套房(1房1廳1衛),558
內湖區,45.79,1090214,二層,公寓(5樓含以下無電梯),194
士林區,1363.63,1090225,全,透天厝,396
松山區,16.81,1090313,七層,住宅大樓(11層含以上有電梯),276
萬華區,5.37,1090213,二層,公寓(5樓含以下無電梯),209
信義區,77.48,1090309,六層,住宅大樓(11層含以上有電梯),536
大安區,6.9,1090228,十一層,住宅大樓(11層含以上有電梯),507
松山區,4.59,1090320,四層,住宅大樓(11層含以上有電梯),524
松山區,5.3,1090318,四層,住宅大樓(11層含以上有電梯),289
大安區,13.42,1090220,十層,住宅大樓(11層含以上有電梯),421
南港區,16.77,1090301,一層,店面(店鋪),727
大安區,37.36,1090301,一層,店面(店鋪),546
中山區,11.98,1090323,一層,店面(店鋪),372
松山區,112.98,1090204,二層,住宅大樓(11層含以上有電梯),370
內湖區,7.89,1090401,一層,公寓(5樓含以下無電梯),269
士林區,40.14,1090401,三層,華廈(10層含以下有電梯),255
松山區,48.36,1090327,六層,住宅大樓(11層含以上有電梯),232
信義區,55.74,1090318,十九層,住宅大樓(11層含以上有電梯),573
中正區,10.42,1090226,六層,辦公商業大樓,296
中正區,6.73,1090227,九層,住宅大樓(11層含以上有電梯),340
中山區,14.02,1090406,NA,其他,NA
中山區,4.85,1090407,十三層,住宅大樓(11層含以上有電梯),386
萬華區,31.18,1090406,四層,公寓(5樓含以下無電梯),257
信義區,15.52,1090312,五層,住宅大樓(11層含以上有電梯),458
信義區,12.87,1090302,一層,公寓(5樓含以下無電梯),386
信義區,27.45,1090302,一層,公寓(5樓含以下無電梯),322
信義區,59.32,1090310,六層,華廈(10層含以下有電梯),309
松山區,20.2,1090325,一層,店面(店鋪),332
松山區,2.31,1090326,十九層,住宅大樓(11層含以上有電梯),577
大安區,2.99,1090411,一層,店面(店鋪),1984
大安區,52.21,1090310,一層,華廈(10層含以下有電梯),813
士林區,196.0,1090408,見其他登記事項,店面(店鋪),264
大安區,23.92,1090305,一層,華廈(10層含以下有電梯),424
中山區,6.0,1090410,五層,辦公商業大樓,356
內湖區,37.55,1090302,一層,公寓(5樓含以下無電梯),485
中正區,24.16,1090403,見其他登記事項,華廈(10層含以下有電梯),479
南港區,51.4,1090401,六層,華廈(10層含以下有電梯),286
松山區,44.5,1090331,一層,公寓(5樓含以下無電梯),644
中山區,54.52,1090407,四層,辦公商業大樓,395
中山區,88.98,1090416,六層,辦公商業大樓,519
大安區,24.9,1090420,二層,華廈(10層含以下有電梯),350
大安區,4.36,1090225,地下一層,店面(店鋪),162
中山區,417.0,1090310,見其他登記事項,華廈(10層含以下有電梯),374
中山區,4.59,1090418,三層,住宅大樓(11層含以上有電梯),495
信義區,64.06,1090315,十層,住宅大樓(11層含以上有電梯),470
南港區,25.5,1090415,一層,公寓(5樓含以下無電梯),316
信義區,5.82,1090325,十四層,住宅大樓(11層含以上有電梯),332
士林區,146.76,1090401,五層,住宅大樓(11層含以上有電梯),513
信義區,27.36,1090420,五層,公寓(5樓含以下無電梯),273
內湖區,1535.47,1090406,NA,其他,394
中正區,68856.8,1090409,一層,店面(店鋪),637
大安區,154.0,1090401,NA,店面(店鋪),405
大安區,25.24,1090408,二層,公寓(5樓含以下無電梯),562
內湖區,29.02,1090415,一層,公寓(5樓含以下無電梯),250
士林區,31.54,1090410,六層,華廈(10層含以下有電梯),381
北投區,24.36,1090422,三層,公寓(5樓含以下無電梯),247
中山區,20.25,1090310,一層,公寓(5樓含以下無電梯),549
內湖區,3.86,1090427,七層,辦公商業大樓,402
士林區,25.89,1090501,NA,店面(店鋪),275
中山區,42.65,1090211,十層,套房(1房1廳1衛),410
大安區,48.6,1090325,一層,店面(店鋪),544
內湖區,32.76,1090413,NA,其他,NA
內湖區,26.82,1090429,NA,其他,NA
內湖區,26.82,1090425,NA,其他,NA
中山區,13.44,1090311,四層,住宅大樓(11層含以上有電梯),710
信義區,24.0,1090430,一層,店面(店鋪),920
中正區,9.04,1090505,一層,店面(店鋪),735
中山區,43.25,1090505,一層,公寓(5樓含以下無電梯),344
中山區,33.77,1090501,七層,華廈(10層含以下有電梯),444
The villages and towns urban district,land shifting total area square meter,transaction year month and day,shifting level,building state,the unit price (NTD / square meter)
內湖區,22.59,1100209,一層,公寓(5樓含以下無電梯),471
中山區,51.81,1100217,一層,華廈(10層含以下有電梯),482
中山區,381.0,1091229,四層,住宅大樓(11層含以上有電梯),465
信義區,80.0,1100122,NA,其他,150
萬華區,235.0,1100210,見其他登記事項,華廈(10層含以下有電梯),398
信義區,15.19,1100203,十九層,住宅大樓(11層含以上有電梯),710
中正區,3.9,1100221,七層,住宅大樓(11層含以上有電梯),559
